Validation_Set,Topics,Alpha,Beta,Coherence
75% Corpus,10,0.01,0.01,0.38834322137654154
75% Corpus,10,0.01,0.31,0.45042041461202087
75% Corpus,10,0.01,0.61,0.5095669131147955
75% Corpus,10,0.01,0.9099999999999999,0.45917461614081334
75% Corpus,10,0.01,symmetric,0.45686060968741204
75% Corpus,10,0.31,0.01,0.39140952034519405
75% Corpus,10,0.31,0.31,0.43096531262499516
75% Corpus,10,0.31,0.61,0.4669994686157651
75% Corpus,10,0.31,0.9099999999999999,0.464865717033628
75% Corpus,10,0.31,symmetric,0.44262534363275485
75% Corpus,10,0.61,0.01,0.42037438485613265
75% Corpus,10,0.61,0.31,0.4361406190653566
75% Corpus,10,0.61,0.61,0.4271870356004267
75% Corpus,10,0.61,0.9099999999999999,0.4982276411571254
75% Corpus,10,0.61,symmetric,0.4301336863626674
75% Corpus,10,0.9099999999999999,0.01,0.44688637977404466
75% Corpus,10,0.9099999999999999,0.31,0.46864115732325173
75% Corpus,10,0.9099999999999999,0.61,0.40708404560388606
75% Corpus,10,0.9099999999999999,0.9099999999999999,0.5079066441595991
75% Corpus,10,0.9099999999999999,symmetric,0.4698321424715625
75% Corpus,10,symmetric,0.01,0.3858669352045636
75% Corpus,10,symmetric,0.31,0.4556067038869294
75% Corpus,10,symmetric,0.61,0.4968748915264928
75% Corpus,10,symmetric,0.9099999999999999,0.5234785338097641
75% Corpus,10,symmetric,symmetric,0.43918238708796065
75% Corpus,10,asymmetric,0.01,0.4037802508257008
75% Corpus,10,asymmetric,0.31,0.4230601464122487
75% Corpus,10,asymmetric,0.61,0.46061176448184593
75% Corpus,10,asymmetric,0.9099999999999999,0.43098320063145784
75% Corpus,10,asymmetric,symmetric,0.4538049469137107
75% Corpus,11,0.01,0.01,0.4161256499653037
75% Corpus,11,0.01,0.31,0.4595456860620658
75% Corpus,11,0.01,0.61,0.4549639121777051
75% Corpus,11,0.01,0.9099999999999999,0.41993911890836877
75% Corpus,11,0.01,symmetric,0.449971408461184
75% Corpus,11,0.31,0.01,0.40826173906835295
75% Corpus,11,0.31,0.31,0.4576810998654695
75% Corpus,11,0.31,0.61,0.4919164057467778
75% Corpus,11,0.31,0.9099999999999999,0.45846442714361724
75% Corpus,11,0.31,symmetric,0.43002488172662456
75% Corpus,11,0.61,0.01,0.4223785137000826
75% Corpus,11,0.61,0.31,0.4849354402420481
75% Corpus,11,0.61,0.61,0.45497508369839745
75% Corpus,11,0.61,0.9099999999999999,0.46732062892624615
75% Corpus,11,0.61,symmetric,0.4472805313905518
75% Corpus,11,0.9099999999999999,0.01,0.4442282275207784
75% Corpus,11,0.9099999999999999,0.31,0.46018005586787286
75% Corpus,11,0.9099999999999999,0.61,0.4199851464264428
75% Corpus,11,0.9099999999999999,0.9099999999999999,0.46766259745162914
75% Corpus,11,0.9099999999999999,symmetric,0.4408901124939632
75% Corpus,11,symmetric,0.01,0.41109603061091915
75% Corpus,11,symmetric,0.31,0.46736160701837126
75% Corpus,11,symmetric,0.61,0.46199842914794664
75% Corpus,11,symmetric,0.9099999999999999,0.44884881010469024
75% Corpus,11,symmetric,symmetric,0.4534172017671833
75% Corpus,11,asymmetric,0.01,0.40121824428138597
75% Corpus,11,asymmetric,0.31,0.4454233597028157
75% Corpus,11,asymmetric,0.61,0.4837081608343826
75% Corpus,11,asymmetric,0.9099999999999999,0.3999884738744989
